Time (EET),Side,Amount,Instrument,Price,P&L,Fee,Order ID,Position ID
2026/01/02 21:05:26,BUY,0.03,XAGUSD,72.231,$0.00,$0.00,7277816997874308401,7277816997838335816
2025/12/31 19:44:21,SELL,0.01,XAGUSD,71.251,-$0.05,-$0.10,7277816997874091487,7277816997838276629
2025/12/31 08:16:40,BUY,0.01,XAGUSD,71.252,$0.00,$0.00,7277816997874091485,7277816997838276629
2025/12/30 19:04:00,SELL,0.1,XAGUSD,77.214,-$4.50,-$1.00,7277816997874031840,7277816997838261042
2025/12/30 19:00:48,BUY,0.1,XAGUSD,77.223,$0.00,$0.00,7277816997874031495,7277816997838261042
2025/12/30 19:00:10,SELL,0.1,XAGUSD,76.979,$150.00,-$1.00,7277816997874031385,7277816997838260888
2025/12/30 18:56:40,BUY,0.1,XAGUSD,76.679,$0.00,$0.00,7277816997874030891,7277816997838260888
2025/12/30 15:22:40,SELL,0.1,XAGUSD,76.206,$281.50,-$1.00,7277816997873990581,7277816997838249753
2025/12/30 15:19:59,SELL,0.05,XAUUSD,4391.33,-$15.30,-$0.50,7277816997873990659,7277816997838249775
2025/12/23 02:00:05,BUY,0.1,XAUUSD,4460.33,$0.00,$0.00,7277816997873417740,7277816997838094331
2025/09/09 16:57:06,BUY,0.25,XAUUSD,3667.88,$0.00,$0.00,7277816997861264222,7277816997835545454
2025/09/08 19:33:54,SELL,0.25,XAUUSD,3639.78,-$29.50,-$3.75,7277816997861214183,7277816997835532612
2025/09/08 19:26:06,BUY,0.25,XAUUSD,3640.96,$0.00,$0.00,7277816997861214182,7277816997835532612
2025/09/08 19:01:30,SELL,0.25,XAUUSD,3638.51,$13.00,-$3.75,7277816997861211705,7277816997835532000
2025/09/08 18:46:47,BUY,0.25,XAUUSD,3637.99,$0.00,$0.00,7277816997861211699,7277816997835532000
2025/09/08 18:46:14,SELL,0.25,XAUUSD,3637.09,$42.00,-$3.75,7277816997861211638,7277816997835531880
2025/09/08 18:40:06,BUY,0.25,XAUUSD,3635.41,$0.00,$0.00,7277816997861211226,7277816997835531880
2025/09/08 18:17:10,SELL,0.2,XAUUSD,3645.12,$125.00,-$3.00,7277816997861209290,7277816997835530847
2025/09/08 17:53:08,BUY,0.2,XAUUSD,3638.87,$0.00,$0.00,7277816997861207127,7277816997835530847
2025/09/08 17:31:21,SELL,0.25,XAUUSD,3629.65,-$126.75,-$3.75,7277816997861199657,7277816997835528967
2025/09/08 16:58:17,BUY,0.25,XAUUSD,3634.72,$0.00,$0.00,7277816997861199453,7277816997835528967
2025/09/08 18:56:00,SELL,0.25,XAUUSD,3630.66,-$97.00,-$3.75,7277816997861197860,7277816997835528411
2025/09/08 16:46:30,BUY,0.25,XAUUSD,3634.54,$0.00,$0.00,7277816997861197336,7277816997835528411
2025/09/08 16:45:37,SELL,0.25,XAUUSD,3632.96,-$2.00,-$3.75,7277816997861197133,7277816997835528357
2025/09/08 16:45:16,BUY,0.25,XAUUSD,3633.04,$0.00,$0.00,7277816997861197091,7277816997835528357
2025/09/05 20:32:33,SELL,0.25,XAUUSD,3596.44,$87.00,-$3.75,7277816997861072623,7277816997835506456
2025/09/05 20:14:06,BUY,0.25,XAUUSD,3592.96,$0.00,$0.00,7277816997861065060,7277816997835506456
2025/09/05 19:39:23,SELL,0.2,XAUUSD,3594.50,-$2.00,-$3.00,7277816997861033994,7277816997835504445
2025/09/05 19:03:59,BUY,0.2,XAUUSD,3594.60,$0.00,$0.00,7277816997861033070,7277816997835504445
2025/09/05 18:56:39,SELL,0.2,XAUUSD,3593.02,-$47.20,-$3.00,7277816997861029135,7277816997835504215
2025/09/05 18:54:08,BUY,0.2,XAUUSD,3595.38,$0.00,$0.00,7277816997861028838,7277816997835504215
2025/09/05 18:53:12,SELL,0.2,XAUUSD,3593.56,-$5.60,-$3.00,7277816997861025117,7277816997835503925
2025/09/05 18:44:35,BUY,0.2,XAUUSD,3593.84,$0.00,$0.00,7277816997861024182,7277816997835503925
2025/09/05 17:08:11,SELL,0.1,XAUUSD,3593.83,$45.00,-$1.50,7277816997860963408,7277816997835497337
2025/09/05 16:46:57,BUY,0.1,XAUUSD,3589.33,$0.00,$0.00,7277816997860962476,7277816997835497337
2025/09/05 15:42:15,SELL,0.03,XAUUSD,3578.13,-$0.45,-$0.45,7277816997860933992,7277816997835493375
2025/09/05 15:35:04,BUY,0.03,XAUUSD,3578.28,$0.00,$0.00,7277816997860932777,7277816997835493375