"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"12/30/2025","Credit Interest","","SCHWAB1 INT 11/26-12/29","","","","$0.83"
"12/30/2025","Buy","ASTS","AST SPACEMOBILE INC CLASS A","25","$77.215","","-$1930.38"
"12/30/2025","Buy to Open","ORCL 01/02/2026 202.50 C","CALL ORACLE CORP $202.5 EXP 01/02/26","1","$1.16","$0.66","-$116.66"
"12/29/2025","Buy to Open","MU 01/09/2026 320.00 C","CALL MICRON TECHNOLOGY I$320 EXP 01/09/26","1","$2.36","$0.66","-$236.66"
"12/29/2025","Cash Dividend","MSTY","TIDAL TR II YIELDMAX MSTR OPTION INCOME STRATEGY ETF NEW","","","","$5.11"
"12/29/2025 as of 12/26/2025","Expired","ORCL 12/26/2025 202.50 C","CALL ORACLE CORP $202.5 EXP 12/26/25","-13","","",""
"12/26/2025 as of 12/24/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$50.00"
"12/24/2025","Buy to Open","ORCL 12/26/2025 202.50 C","CALL ORACLE CORP $202.5 EXP 12/26/25","10","$0.42","$6.61","-$426.61"
"12/22/2025","Buy to Open","ORCL 12/26/2025 202.50 C","CALL ORACLE CORP $202.5 EXP 12/26/25","3","$1.60","$1.98","-$481.98"
"12/19/2025","Buy","ONDS","ONDAS HLDGS INC","200","$9.02","","-$1804.00"
"12/19/2025","Cash Dividend","MSTY","TIDAL TR II YIELDMAX MSTR OPTION INCOME STRATEGY ETF NEW","","","","$3.87"
"12/19/2025 as of 12/18/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$50.00"
"12/17/2025","Sell to Close","MU 12/19/2025 260.00 C","CALL MICRON TECHNOLOGY I$260 EXP 12/19/25","1","$2.93","$0.66","$292.34"
"12/16/2025","Buy to Open","MU 12/19/2025 260.00 C","CALL MICRON TECHNOLOGY I$260 EXP 12/19/25","1","$2.92","$0.66","-$292.66"
"12/15/2025","Sell to Close","SPXW 12/15/2025 6800.00 P","PUT S & P ...500 INDEX $6800 EXP 12/15/25","1","$5.00","$1.22","$498.78"
"12/15/2025","Sell to Close","SPXW 12/15/2025 6800.00 P","PUT S & P ...500 INDEX $6800 EXP 12/15/25","2","$4.90","$2.44","$977.56"
"12/15/2025","Buy to Open","SPXW 12/15/2025 6800.00 P","PUT S & P ...500 INDEX $6800 EXP 12/15/25","3","$4.20","$3.66","-$1263.66"
"12/15/2025 as of 12/12/2025","Expired","ASML 12/12/2025 1150.00 C","CALL ASML HLDG N V $1150 EXP 12/12/25","-1","","",""
"12/15/2025 as of 12/12/2025","Expired","NVDA 12/12/2025 195.00 C","CALL NVIDIA CORP $195 EXP 12/12/25","-1","","",""
"12/15/2025 as of 12/12/2025","Expired","NVDA 12/12/2025 190.00 C","CALL NVIDIA CORP $190 EXP 12/12/25","-1","","",""
"12/12/2025","Cash Dividend","MSTY","TIDAL TR II YIELDMAX MSTR OPTION INCOME STRATEGY ETF NEW","","","","$5.86"
"12/12/2025","Sell to Close","AVGO 12/12/2025 360.00 P","PUT BROADCOM INC $360 EXP 12/12/25","1","$3.35","$0.66","$334.34"
"12/12/2025","Sell to Close","SPXW 12/12/2025 6810.00 P","PUT S & P ...500 INDEX $6810 EXP 12/12/25","1","$4.40","$1.22","$438.78"
"12/12/2025","Buy to Open","SPXW 12/12/2025 6810.00 P","PUT S & P ...500 INDEX $6810 EXP 12/12/25","1","$3.30","$1.22","-$331.22"
"12/12/2025","Buy to Open","AVGO 12/12/2025 360.00 P","PUT BROADCOM INC $360 EXP 12/12/25","1","$1.53","$0.66","-$153.66"
"12/12/2025","Buy to Open","ONDS 06/18/2026 12.00 C","CALL ONDAS HLDGS INC $12 EXP 06/18/26","1","$2.46","$0.66","-$246.66"
"12/12/2025","Buy","ONDS","ONDAS HLDGS INC","100","$9.00","","-$900.00"
"12/12/2025 as of 12/11/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$50.00"
"12/11/2025","Sell to Close","ASML 12/12/2025 1130.00 C","CALL ASML HLDG N V $1130 EXP 12/12/25","1","$6.90","$0.66","$689.34"
"12/11/2025","Sell to Close","SPXW 12/11/2025 6900.00 C","CALL S & P ...500 INDEX $6900 EXP 12/11/25","1","$3.90","$1.22","$388.78"
"12/11/2025","Buy to Open","SPXW 12/11/2025 6900.00 C","CALL S & P ...500 INDEX $6900 EXP 12/11/25","1","$2.15","$1.22","-$216.22"
"12/11/2025","Buy to Open","ASML 12/12/2025 1130.00 C","CALL ASML HLDG N V $1130 EXP 12/12/25","1","$3.85","$0.66","-$385.66"
"12/10/2025","Sell to Close","OKLO 12/12/2025 102.00 C","CALL OKLO INC $102 EXP 12/12/25","1","$5.14","$0.66","$513.34"
"12/10/2025","Buy to Open","OKLO 12/12/2025 102.00 C","CALL OKLO INC $102 EXP 12/12/25","1","$3.15","$0.66","-$315.66"
"12/09/2025","Sell to Close","DUOL 12/12/2025 220.00 C","CALL DUOLINGO INC $220 EXP 12/12/25","1","$2.40","$0.66","$239.34"
"12/09/2025","Sell to Close","APP 12/12/2025 730.00 C","CALL APPLOVIN CORP $730 EXP 12/12/25","1","$9.12","$0.66","$911.34"
"12/09/2025","Buy to Open","APP 12/12/2025 730.00 C","CALL APPLOVIN CORP $730 EXP 12/12/25","1","$6.60","$0.66","-$660.66"
"12/09/2025","Buy to Open","ASML 12/12/2025 1150.00 C","CALL ASML HLDG N V $1150 EXP 12/12/25","1","$5.00","$0.66","-$500.66"
"12/08/2025","Buy to Open","NVDA 12/12/2025 190.00 C","CALL NVIDIA CORP $190 EXP 12/12/25","1","$2.26","$0.66","-$226.66"
"12/08/2025","Buy to Open","NVDA 12/12/2025 195.00 C","CALL NVIDIA CORP $195 EXP 12/12/25","1","$0.96","$0.66","-$96.66"
"12/08/2025","Sell to Close","SPXW 12/08/2025 6800.00 P","PUT S & P ...500 INDEX $6800 EXP 12/08/25","1","$1.05","$1.22","$103.78"
"12/08/2025","Buy to Open","SPXW 12/08/2025 6800.00 P","PUT S & P ...500 INDEX $6800 EXP 12/08/25","1","$0.95","$1.13","-$96.13"
"12/08/2025","Reverse Split","MSTY","TIDAL TR II YIELDMAX MSTR OPTION INCOME STRATEGY ETF NEW","10","","",""
"12/08/2025","Reverse Split","88634T493","YIELDMAX MSTR OPT INCXXXREVERSE SPLIT EFF: 12/08/25","-50","","",""
"12/08/2025 as of 12/05/2025","Expired","UNH 12/05/2025 350.00 C","CALL UNITEDHEALTH GROUP $350 EXP 12/05/25","-2","","",""
"12/08/2025 as of 12/05/2025","Expired","NVDA 12/05/2025 185.00 C","CALL NVIDIA CORP $185 EXP 12/05/25","-1","","",""
"12/08/2025 as of 12/05/2025","Expired","AMD 12/05/2025 225.00 C","CALL ADVANCED MICRO DEVI$225 EXP 12/05/25","-1","","",""
"12/05/2025","Buy to Open","DUOL 12/12/2025 220.00 C","CALL DUOLINGO INC $220 EXP 12/12/25","1","$1.30","$0.66","-$130.66"
"12/05/2025","Sell to Close","RDDT 12/12/2025 250.00 C","CALL REDDIT INC $250 EXP 12/12/25","1","$3.69","$0.66","$368.34"
"12/05/2025","Buy to Open","AMD 12/05/2025 225.00 C","CALL ADVANCED MICRO DEVI$225 EXP 12/05/25","1","$0.96","$0.66","-$96.66"
"12/05/2025","Buy to Open","RDDT 12/12/2025 250.00 C","CALL REDDIT INC $250 EXP 12/12/25","1","$2.40","$0.66","-$240.66"
"12/05/2025","Cash Dividend","MSTY","YIELDMAX MSTR OPT INCM REVERSE SPLIT EFF: 12/08/25","","","","$6.94"
"12/05/2025 as of 12/04/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$50.00"
"12/04/2025","Buy to Open","NVDA 12/05/2025 185.00 C","CALL NVIDIA CORP $185 EXP 12/05/25","1","$1.30","$0.66","-$130.66"
"12/03/2025","Sell to Close","CAT 12/05/2025 597.50 C","CALL CATERPILLAR INC $597.5 EXP 12/05/25","1","$3.15","$0.66","$314.34"
"12/03/2025","Buy to Open","UNH 12/05/2025 350.00 C","CALL UNITEDHEALTH GROUP $350 EXP 12/05/25","2","$0.50","$1.32","-$101.32"
"12/03/2025","Buy to Open","CAT 12/05/2025 597.50 C","CALL CATERPILLAR INC $597.5 EXP 12/05/25","1","$2.25","$0.66","-$225.66"
"12/03/2025 as of 12/02/2025","Expired","SPXW 12/02/2025 6875.00 C","CALL S & P ...500 INDEX $6875 EXP 12/02/25","-1","","",""
"12/02/2025","Buy to Open","SPXW 12/02/2025 6875.00 C","CALL S & P ...500 INDEX $6875 EXP 12/02/25","1","$0.80","$1.13","-$81.13"
"12/01/2025","Cash Dividend","MSTY","YIELDMAX MSTR OPT INCM STRTGY ETF","","","","$6.76"
"12/01/2025","Sell to Close","SPXW 12/01/2025 6850.00 C","CALL S & P ...500 INDEX $6850 EXP 12/01/25","1","$2.80","$1.22","$278.78"
"12/01/2025","Buy to Open","SPXW 12/01/2025 6850.00 C","CALL S & P ...500 INDEX $6850 EXP 12/01/25","1","$2.25","$1.22","-$226.22"
"12/01/2025 as of 11/28/2025","Expired","AMD 11/28/2025 225.00 C","CALL ADVANCED MICRO DEVI$225 EXP 11/28/25","-1","","",""
"11/28/2025","Buy","SPY","SPDR S&P ...500 ETF","100","$682.7399","","-$68273.99"
"11/28/2025","Sell to Close","SPXW 11/28/2025 6860.00 C","CALL S & P ...500 INDEX $6860 EXP 11/28/25","3","$0.45","$3.39","$131.61"
"11/28/2025","Buy to Open","SPXW 11/28/2025 6860.00 C","CALL S & P ...500 INDEX $6860 EXP 11/28/25","3","$2.05","$3.66","-$618.66"
"11/28/2025 as of 11/26/2025","Expired","SPY 11/26/2025 681.00 C","CALL SPDR S&P ...500 $681 EXP 11/26/25","-1","","",""
"11/28/2025 as of 11/26/2025","Exchange or Exercise","SPY 11/26/2025 680.00 P","PUT SPDR S&P ...500 $680 EXP 11/26/25","-1","","",""
"11/28/2025 as of 11/26/2025","Sell","SPY","SPDR S&P ...500 ETF","100","$680.00","$0.02","$67999.98"
"11/28/2025 as of 11/26/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$50.00"
"11/26/2025","Credit Interest","","SCHWAB1 INT 10/30-11/25","","","","$0.87"
"11/26/2025","Buy to Open","SPY 11/26/2025 680.00 P","PUT SPDR S&P ...500 $680 EXP 11/26/25","1","$0.54","$0.66","-$54.66"
"11/26/2025","Buy to Open","SPY 11/26/2025 681.00 C","CALL SPDR S&P ...500 $681 EXP 11/26/25","1","$0.35","$0.66","-$35.66"
"11/26/2025","Sell to Close","SPXW 11/26/2025 6845.00 C","CALL S & P ...500 INDEX $6845 EXP 11/26/25","2","$2.30","$2.44","$457.56"
"11/26/2025","Buy to Open","SPXW 11/26/2025 6845.00 C","CALL S & P ...500 INDEX $6845 EXP 11/26/25","2","$1.05","$2.44","-$212.44"
"11/26/2025","Journal","MSTY","YIELDMAX MSTR OPT INCM STRTGY ETF","-50","","",""
"11/26/2025","Journal","MSTY","YIELDMAX MSTR OPT INCM STRTGY ETF","50","","",""
"11/26/2025","Journal","BULL 01/16/2026 15.00 C","CALL WEBULL CORP $15 EXP 01/16/26","-3","","",""
"11/26/2025","Journal","BULL 01/16/2026 15.00 C","CALL WEBULL CORP $15 EXP 01/16/26","3","","",""
"11/26/2025","Journal","JD 01/16/2026 40.00 C","CALL JD COM INC $40 EXP 01/16/26","-5","","",""
"11/26/2025","Journal","JD 01/16/2026 40.00 C","CALL JD COM INC $40 EXP 01/16/26","5","","",""
"11/26/2025","Journal","AMD 11/28/2025 225.00 C","CALL ADVANCED MICRO DEVI$225 EXP 11/28/25","-1","","",""
"11/26/2025","Journal","AMD 11/28/2025 225.00 C","CALL ADVANCED MICRO DEVI$225 EXP 11/28/25","1","","",""
"11/26/2025","Journal","BFLY 01/16/2026 4.00 C","CALL BUTTERFLY NETWORK I$4 EXP 01/16/26","-10","","",""
"11/26/2025","Journal","BFLY 01/16/2026 4.00 C","CALL BUTTERFLY NETWORK I$4 EXP 01/16/26","10","","",""
"11/24/2025","Buy to Open","AMD 11/28/2025 225.00 C","CALL ADVANCED MICRO DEVI$225 EXP 11/28/25","1","$1.74","$0.66","-$174.66"
"11/24/2025","Sell to Close","SPXW 11/24/2025 6720.00 C","CALL S & P ...500 INDEX $6720 EXP 11/24/25","5","$1.10","$6.10","$543.90"
"11/24/2025","Buy to Open","SPXW 11/24/2025 6720.00 C","CALL S & P ...500 INDEX $6720 EXP 11/24/25","5","$2.60","$6.10","-$1306.10"
"11/24/2025","Sell to Close","SPXW 11/24/2025 6720.00 C","CALL S & P ...500 INDEX $6720 EXP 11/24/25","5","$2.40","$6.10","$1193.90"
"11/24/2025","Sell to Close","SPXW 11/24/2025 6550.00 P","PUT S & P ...500 INDEX $6550 EXP 11/24/25","5","$0.50","$5.65","$244.35"
"11/24/2025","Sell to Close","SPXW 11/24/2025 6550.00 P","PUT S & P ...500 INDEX $6550 EXP 11/24/25","5","$0.70","$5.65","$344.35"
"11/24/2025","Buy to Open","SPXW 11/24/2025 6720.00 C","CALL S & P ...500 INDEX $6720 EXP 11/24/25","5","$2.40","$6.10","-$1206.10"
"11/24/2025","Buy to Open","SPXW 11/24/2025 6550.00 P","PUT S & P ...500 INDEX $6550 EXP 11/24/25","10","$1.70","$12.21","-$1712.21"
"11/24/2025","Sell to Close","SPXW 11/24/2025 6550.00 P","PUT S & P ...500 INDEX $6550 EXP 11/24/25","10","$1.50","$12.21","$1487.79"
"11/24/2025","Buy to Open","SPXW 11/24/2025 6550.00 P","PUT S & P ...500 INDEX $6550 EXP 11/24/25","10","$3.90","$12.21","-$3912.21"
"11/24/2025 as of 11/21/2025","Expired","MU 11/21/2025 265.00 C","CALL MICRON TECHNOLOGY I$265 EXP 11/21/25","-5","","",""
"11/24/2025 as of 11/21/2025","Expired","COIN 11/21/2025 235.00 P","PUT COINBASE GLOBAL INC $235 EXP 11/21/25","-5","","",""
"11/24/2025 as of 11/21/2025","Expired","MSTR 11/21/2025 165.00 P","PUT STRATEGY INC $165 EXP 11/21/25","-3","","",""
"11/24/2025 as of 11/21/2025","Expired","COIN 11/21/2025 220.00 P","PUT COINBASE GLOBAL INC $220 EXP 11/21/25","-10","","",""
"11/24/2025 as of 11/21/2025","Expired","GS 11/21/2025 840.00 C","CALL GOLDMAN SACHS GROUP$840 EXP 11/21/25","-10","","",""
"11/21/2025","Cash Dividend","MSTY","YIELDMAX MSTR OPT INCM STRTGY ETF","","","","$7.38"
"11/21/2025","Sell to Close","COIN 11/21/2025 235.00 P","PUT COINBASE GLOBAL INC $235 EXP 11/21/25","5","$1.47","$3.31","$731.69"
"11/21/2025","Buy to Open","COIN 11/21/2025 235.00 P","PUT COINBASE GLOBAL INC $235 EXP 11/21/25","10","$0.88","$6.61","-$886.61"
"11/21/2025","Buy to Open","COIN 11/21/2025 220.00 P","PUT COINBASE GLOBAL INC $220 EXP 11/21/25","10","$0.305","$6.61","-$311.61"
"11/21/2025","Buy to Open","MSTR 11/21/2025 165.00 P","PUT STRATEGY INC $165 EXP 11/21/25","3","$0.90","$1.98","-$271.98"
"11/21/2025 as of 11/20/2025","Expired","SPXW 11/20/2025 6660.00 C","CALL S & P ...500 INDEX $6660 EXP 11/20/25","-1","","",""
"11/21/2025 as of 11/20/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$50.00"
"11/20/2025","Buy to Open","SPXW 11/20/2025 6660.00 C","CALL S & P ...500 INDEX $6660 EXP 11/20/25","1","$1.05","$1.22","-$106.22"
"11/20/2025","Sell to Close","AMD 11/21/2025 205.00 P","PUT ADVANCED MICRO DEVIC$205 EXP 11/21/25","1","$1.32","$0.66","$131.34"
"11/20/2025","Sell to Close","SPXW 11/20/2025 6775.00 C","CALL S & P ...500 INDEX $6775 EXP 11/20/25","5","$0.49","$5.65","$239.35"
"11/20/2025","Buy to Open","SPXW 11/20/2025 6775.00 C","CALL S & P ...500 INDEX $6775 EXP 11/20/25","5","$1.15","$6.10","-$581.10"
"11/20/2025","Sell to Close","SPXW 11/20/2025 6650.00 P","PUT S & P ...500 INDEX $6650 EXP 11/20/25","1","$6.00","$1.22","$598.78"
"11/20/2025","Buy to Open","SPXW 11/20/2025 6650.00 P","PUT S & P ...500 INDEX $6650 EXP 11/20/25","1","$2.30","$1.22","-$231.22"
"11/20/2025","Buy to Open","GS 11/21/2025 840.00 C","CALL GOLDMAN SACHS GROUP$840 EXP 11/21/25","10","$0.58","$6.61","-$586.61"
"11/20/2025","Sell to Close","AMD 11/21/2025 232.50 C","CALL ADVANCED MICRO DEVI$232.5 EXP 11/21/25","1","$4.06","$0.66","$405.34"
"11/19/2025","Buy to Open","MU 11/21/2025 265.00 C","CALL MICRON TECHNOLOGY I$265 EXP 11/21/25","5","$0.24","$3.30","-$123.30"
"11/19/2025","Buy to Open","AMD 11/21/2025 232.50 C","CALL ADVANCED MICRO DEVI$232.5 EXP 11/21/25","1","$2.16","$0.66","-$216.66"
"11/19/2025","Buy to Open","AMD 11/21/2025 205.00 P","PUT ADVANCED MICRO DEVIC$205 EXP 11/21/25","1","$1.22","$0.66","-$122.66"
"11/19/2025","Sell to Close","SPXW 11/19/2025 6580.00 P","PUT S & P ...500 INDEX $6580 EXP 11/19/25","10","$7.70","$12.21","$7687.79"
"11/19/2025","Buy to Open","SPXW 11/19/2025 6580.00 P","PUT S & P ...500 INDEX $6580 EXP 11/19/25","10","$4.70","$12.21","-$4712.21"
"11/19/2025","Sell to Close","SPXW 11/19/2025 6580.00 P","PUT S & P ...500 INDEX $6580 EXP 11/19/25","10","$2.855","$12.21","$2842.79"
"11/19/2025","Buy to Open","SPXW 11/19/2025 6580.00 P","PUT S & P ...500 INDEX $6580 EXP 11/19/25","10","$4.30","$12.21","-$4312.21"
"11/19/2025","Sell to Close","SPXW 11/19/2025 6580.00 P","PUT S & P ...500 INDEX $6580 EXP 11/19/25","10","$3.50","$12.21","$3487.79"
"11/19/2025","Buy to Open","SPXW 11/19/2025 6580.00 P","PUT S & P ...500 INDEX $6580 EXP 11/19/25","10","$4.30","$12.21","-$4312.21"
"11/19/2025","Sell to Close","SPXW 11/19/2025 6580.00 P","PUT S & P ...500 INDEX $6580 EXP 11/19/25","10","$2.805","$12.21","$2792.79"
"11/19/2025","Buy to Open","SPXW 11/19/2025 6580.00 P","PUT S & P ...500 INDEX $6580 EXP 11/19/25","10","$4.10","$12.21","-$4112.21"
"11/19/2025","Sell to Close","SPXW 11/19/2025 6600.00 P","PUT S & P ...500 INDEX $6600 EXP 11/19/25","10","$3.80","$12.21","$3787.79"
"11/19/2025","Buy to Open","SPXW 11/19/2025 6600.00 P","PUT S & P ...500 INDEX $6600 EXP 11/19/25","10","$3.00","$12.21","-$3012.21"
"11/19/2025","Sell to Close","MU 11/21/2025 265.00 C","CALL MICRON TECHNOLOGY I$265 EXP 11/21/25","10","$0.41","$6.64","$403.36"
"11/19/2025","Buy to Open","MU 11/21/2025 265.00 C","CALL MICRON TECHNOLOGY I$265 EXP 11/21/25","10","$0.317","$6.61","-$323.61"
"11/18/2025","Sell to Close","MU 11/21/2025 265.00 C","CALL MICRON TECHNOLOGY I$265 EXP 11/21/25","2","$0.65","$1.33","$128.67"
"11/18/2025","Sell to Close","GS 11/21/2025 800.00 C","CALL GOLDMAN SACHS GROUP$800 EXP 11/21/25","1","$6.63","$0.66","$662.34"
"11/18/2025","Sell to Close","SPY 11/18/2025 655.00 P","PUT SPDR S&P ...500 $655 EXP 11/18/25","10","$0.35","$6.64","$343.36"
"11/18/2025","Buy to Open","SPY 11/18/2025 655.00 P","PUT SPDR S&P ...500 $655 EXP 11/18/25","10","$0.83","$6.61","-$836.61"
"11/18/2025","Buy to Open","GS 11/21/2025 800.00 C","CALL GOLDMAN SACHS GROUP$800 EXP 11/21/25","1","$4.27","$0.66","-$427.66"
"11/18/2025","Buy to Open","MU 11/21/2025 265.00 C","CALL MICRON TECHNOLOGY I$265 EXP 11/21/25","2","$0.55","$1.32","-$111.32"
"11/18/2025","Sell to Close","SPY 11/18/2025 655.00 P","PUT SPDR S&P ...500 $655 EXP 11/18/25","10","$1.42","$6.64","$1413.36"
"11/18/2025","Buy to Open","SPY 11/18/2025 655.00 P","PUT SPDR S&P ...500 $655 EXP 11/18/25","10","$1.37","$6.61","-$1376.61"
"11/18/2025","Sell to Close","SPY 11/18/2025 655.00 P","PUT SPDR S&P ...500 $655 EXP 11/18/25","3","$1.68","$1.99","$502.01"
"11/18/2025","Buy to Open","SPY 11/18/2025 655.00 P","PUT SPDR S&P ...500 $655 EXP 11/18/25","3","$1.65","$1.98","-$496.98"
"11/17/2025","Sell to Close","SPXW 11/17/2025 6600.00 P","PUT S & P ...500 INDEX $6600 EXP 11/17/25","3","$0.90","$3.39","$266.61"
