"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"08/29/2025","Buy","ONDS","ONDAS HLDGS INC","250","$5.645","","-$1411.25"
"08/29/2025 as of 08/28/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$25.00"
"08/28/2025","Credit Interest","","SCHWAB1 INT 07/30-08/27","","","","$0.16"
"08/28/2025","Margin Interest","","INTEREST 07/30THRU 08/27","","","","-$0.43"
"08/28/2025","Buy","GRYP","GRYPHON DIGITAL MNG INC","500","$1.6587","","-$829.35"
"08/28/2025","Buy","LWLG","LIGHTWAVE LOGIC INC","200","$3.488","","-$697.60"
"08/27/2025","Buy","LWLG","LIGHTWAVE LOGIC INC","400","$3.60","","-$1440.00"
"08/27/2025","Sell to Close","BABA 10/17/2025 130.00 C","CALL ALIBABA GROUP HLDG $130 EXP 10/17/25","3","$4.68","$1.99","$1402.01"
"08/27/2025","Sell to Close","ETHA 09/12/2025 33.00 C","CALL ISHRS ETHEREUM TRST$33 EXP 09/12/25","2","$3.04","$1.33","$606.67"
"08/27/2025","Sell to Close","ETHA 09/19/2025 35.00 C","CALL ISHRS ETHEREUM TRST$35 EXP 09/19/25","5","$2.44","$3.31","$1216.69"
"08/27/2025","Buy","LWLG","LIGHTWAVE LOGIC INC","100","$3.60","","-$360.00"
"08/27/2025","Journal","","JOURNAL TO ...972","","","","-$125.00"
"08/26/2025","Buy to Open","ETHA 09/19/2025 35.00 C","CALL ISHRS ETHEREUM TRST$35 EXP 09/19/25","5","$2.85","$3.30","-$1428.30"
"08/26/2025","Buy to Open","RGTI 09/19/2025 16.00 C","CALL RIGETTI COMPUTING I$16 EXP 09/19/25","1","$0.97","$0.66","-$97.66"
"08/26/2025","Buy to Open","BABA 10/17/2025 130.00 C","CALL ALIBABA GROUP HLDG $130 EXP 10/17/25","4","$5.55","$2.64","-$2222.64"
"08/26/2025","Sell to Close","OKLO 09/12/2025 75.00 C","CALL OKLO INC $75 EXP 09/12/25","2","$7.25","$1.33","$1448.67"
"08/25/2025","Buy to Open","TSLA 08/29/2025 360.00 C","CALL TESLA INC $360 EXP 08/29/25","1","$2.80","$0.66","-$280.66"
"08/25/2025","Sell to Close","TSLA 08/29/2025 360.00 C","CALL TESLA INC $360 EXP 08/29/25","5","$2.48","$3.31","$1236.69"
"08/25/2025","Buy to Open","TSLA 08/29/2025 360.00 C","CALL TESLA INC $360 EXP 08/29/25","5","$2.76","$3.30","-$1383.30"
"08/25/2025","Sell to Close","ETHA 09/05/2025 36.00 C","CALL ISHRS ETHEREUM TRST$36 EXP 09/05/25","4","$1.39","$2.65","$553.35"
"08/25/2025","Sell to Close","GOOGL 09/05/2025 205.00 C","CALL ALPHABET INC $205 EXP 09/05/25","1","$7.75","$0.66","$774.34"
"08/25/2025","Sell to Close","SOFI 09/12/2025 24.00 C","CALL SOFI TECHNOLOGIES I$24 EXP 09/12/25","2","$2.65","$1.33","$528.67"
"08/25/2025","Sell to Close","BABA 10/17/2025 130.00 C","CALL ALIBABA GROUP HLDG $130 EXP 10/17/25","3","$5.75","$1.99","$1723.01"
"08/25/2025","Sell","ONDS","ONDAS HLDGS INC","250","$4.8137","$0.04","$1203.39"
"08/22/2025","Buy to Open","SOFI 09/12/2025 27.00 C","CALL SOFI TECHNOLOGIES I$27 EXP 09/12/25","5","$0.70","$3.30","-$353.30"
"08/22/2025","Buy to Open","RKT 09/12/2025 19.50 C","CALL ROCKET COMPANIES CL$19.5 EXP 09/12/25","5","$1.23","$3.30","-$618.30"
"08/22/2025","Buy","ONDS","ONDAS HLDGS INC","250","$4.185","","-$1046.25"
"08/22/2025","Buy to Open","OKLO 09/12/2025 75.00 C","CALL OKLO INC $75 EXP 09/12/25","2","$3.90","$1.32","-$781.32"
"08/22/2025","Sell to Close","SOFI 09/12/2025 24.00 C","CALL SOFI TECHNOLOGIES I$24 EXP 09/12/25","7","$2.00","$4.65","$1395.35"
"08/22/2025 as of 08/21/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$25.00"
"08/20/2025","Journal","","JOURNAL TO ...972","","","","-$200.00"
"08/19/2025","Sell to Close","SQQQ 08/22/2025 17.50 C","CALL PROSHARES TR $17.5 EXP 08/22/25","10","$0.67","$6.64","$663.36"
"08/19/2025","Buy to Open","SQQQ 08/22/2025 17.50 C","CALL PROSHARES TR $17.5 EXP 08/22/25","10","$0.60","$6.61","-$606.61"
"08/19/2025","Sell to Open","ONDS 09/19/2025 5.00 C","CALL ONDAS HLDGS INC $5 EXP 09/19/25","4","$0.16","$2.65","$61.35"
"08/18/2025","Buy to Open","SOFI 09/12/2025 24.00 C","CALL SOFI TECHNOLOGIES I$24 EXP 09/12/25","10","$1.50","$6.61","-$1506.61"
"08/18/2025","Buy to Open","ETHA 09/12/2025 33.00 C","CALL ISHRS ETHEREUM TRST$33 EXP 09/12/25","2","$2.60","$1.32","-$521.32"
"08/18/2025","Sell to Close","TEM 09/05/2025 75.00 C","CALL TEMPUS AI INC $75 EXP 09/05/25","1","$7.10","$0.66","$709.34"
"08/15/2025","Buy to Open","CMG 09/19/2025 45.00 C","CALL CHIPOTLE MEXICAN GR$45 EXP 09/19/25","2","$1.23","$1.32","-$247.32"
"08/15/2025","Buy","UP","WHEELS UP EXPERIENCE INCCLASS A","1,000","$1.90","","-$1900.00"
"08/15/2025","Sell","OPEN","OPENDOOR TECHNOLOGIES IN","1,000","$3.2315","$0.17","$3231.33"
"08/15/2025","Buy to Open","TEM 09/05/2025 75.00 C","CALL TEMPUS AI INC $75 EXP 09/05/25","1","$4.80","$0.66","-$480.66"
"08/15/2025","Sell to Close","TEM 09/05/2025 66.00 C","CALL TEMPUS AI INC $66 EXP 09/05/25","1","$10.00","$0.66","$999.34"
"08/15/2025","Buy","ONDS","ONDAS HLDGS INC","400","$3.93","","-$1572.00"
"08/15/2025 as of 08/14/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$25.00"
"08/14/2025","Sell to Close","SOFI 09/05/2025 22.50 C","CALL SOFI TECHNOLOGIES I$22.5 EXP 09/05/25","10","$1.426","$6.64","$1419.36"
"08/14/2025","Buy","OPEN","OPENDOOR TECHNOLOGIES IN","1,000","$2.80","","-$2800.00"
"08/14/2025","Buy to Open","BABA 10/17/2025 130.00 C","CALL ALIBABA GROUP HLDG $130 EXP 10/17/25","2","$6.05","$1.32","-$1211.32"
"08/13/2025","Sell to Close","BABA 08/15/2025 125.00 C","CALL ALIBABA GROUP HLDG $125 EXP 08/15/25","2","$2.00","$1.33","$398.67"
"08/13/2025","Buy to Open","ETHA 09/05/2025 36.00 C","CALL ISHRS ETHEREUM TRST$36 EXP 09/05/25","5","$2.50","$3.30","-$1253.30"
"08/12/2025","Buy to Open","TEM 09/05/2025 66.00 C","CALL TEMPUS AI INC $66 EXP 09/05/25","1","$4.65","$0.66","-$465.66"
"08/12/2025","Buy to Open","SOFI 09/05/2025 22.50 C","CALL SOFI TECHNOLOGIES I$22.5 EXP 09/05/25","10","$1.45","$6.61","-$1456.61"
"08/11/2025","Sell to Close","SOFI 09/05/2025 22.50 C","CALL SOFI TECHNOLOGIES I$22.5 EXP 09/05/25","3","$1.32","$1.99","$394.01"
"08/11/2025","Buy to Open","GOOGL 09/05/2025 205.00 C","CALL ALPHABET INC $205 EXP 09/05/25","1","$5.00","$0.66","-$500.66"
"08/11/2025 as of 08/08/2025","Expired","BITX 08/08/2025 65.00 C","CALL VOLATILITY SHS TR $65 EXP 08/08/25","-10","","",""
"08/11/2025 as of 08/08/2025","Expired","BITX 08/08/2025 64.00 C","CALL VOLATILITY SHS TR $64 EXP 08/08/25","-1","","",""
"08/08/2025","Buy to Open","SOFI 09/05/2025 22.50 C","CALL SOFI TECHNOLOGIES I$22.5 EXP 09/05/25","3","$1.30","$1.98","-$391.98"
"08/08/2025","Sell to Close","ETHA 09/05/2025 29.00 C","CALL ISHRS ETHEREUM TRST$29 EXP 09/05/25","1","$3.15","$0.66","$314.34"
"08/08/2025","Sell to Close","ETHA 08/29/2025 28.00 C","CALL ISHRS ETHEREUM TRST$28 EXP 08/29/25","3","$3.55","$1.99","$1063.01"
"08/08/2025 as of 08/07/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$25.00"
"08/07/2025","Buy to Open","BITX 08/08/2025 65.00 C","CALL VOLATILITY SHS TR $65 EXP 08/08/25","10","$0.14","$6.61","-$146.61"
"08/07/2025","Buy to Open","BABA 10/17/2025 130.00 C","CALL ALIBABA GROUP HLDG $130 EXP 10/17/25","1","$5.10","$0.66","-$510.66"
"08/07/2025","Sell to Close","BITX 08/08/2025 60.00 C","CALL VOLATILITY SHS TR $60 EXP 08/08/25","2","$1.30","$1.33","$258.67"
"08/07/2025","Buy to Open","BABA 08/15/2025 125.00 C","CALL ALIBABA GROUP HLDG $125 EXP 08/15/25","2","$1.30","$1.32","-$261.32"
"08/07/2025","Sell to Close","MU 09/19/2025 115.00 C","CALL MICRON TECHNOLOGY I$115 EXP 09/19/25","2","$5.10","$1.33","$1018.67"
"08/07/2025","Sell to Close","SBET 08/08/2025 21.00 C","CALL SHARPLINK GAMING IN$21 EXP 08/08/25","1","$1.70","$0.66","$169.34"
"08/06/2025","Buy to Open","ETHA 08/29/2025 28.00 C","CALL ISHRS ETHEREUM TRST$28 EXP 08/29/25","3","$1.95","$1.98","-$586.98"
"08/06/2025","Buy to Open","MU 09/19/2025 115.00 C","CALL MICRON TECHNOLOGY I$115 EXP 09/19/25","2","$4.10","$1.32","-$821.32"
"08/04/2025","Buy to Open","BITX 08/08/2025 60.00 C","CALL VOLATILITY SHS TR $60 EXP 08/08/25","2","$1.84","$1.32","-$369.32"
"08/04/2025","Sell","TSLL","DIREXION DAILY TSLA BULL2X SHAR ETF","50","$10.5315","$0.01","$526.57"
"08/04/2025 as of 08/01/2025","Expired","MSTU 08/01/2025 8.50 C","CALL T REX 2X LONG MSTR $8.5 EXP 08/01/25","-5","","",""
"08/01/2025","Cash Dividend","MSTY","YIELDMAX MSTR OPT INCM STRTGY ETF","","","","$59.18"
"08/01/2025 as of 07/31/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$25.00"
"07/31/2025","Cash Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$0.47"
"07/31/2025","Cash Dividend","SNOXX","SCHWAB TREASURY OBLIG MONEY INV","","","","$0.47"
"07/31/2025","Buy to Open","MSTU 08/01/2025 8.50 C","CALL T REX 2X LONG MSTR $8.5 EXP 08/01/25","5","$0.23","$3.30","-$118.30"
"07/31/2025","Buy to Open","ETHA 09/05/2025 29.00 C","CALL ISHRS ETHEREUM TRST$29 EXP 09/05/25","1","$2.35","$0.66","-$235.66"
"07/31/2025","Buy to Open","BITX 08/08/2025 64.00 C","CALL VOLATILITY SHS TR $64 EXP 08/08/25","1","$2.35","$0.66","-$235.66"
"07/31/2025","Buy to Open","SBET 08/08/2025 21.00 C","CALL SHARPLINK GAMING IN$21 EXP 08/08/25","1","$1.55","$0.66","-$155.66"
"07/30/2025","Credit Interest","","SCHWAB1 INT 06/27-07/29","","","","$0.07"
"07/30/2025","Sell to Close","RKLB 10/17/2025 40.00 C","CALL ROCKET LAB CORP $40 EXP 10/17/25","2","$8.30","$1.33","$1658.67"
"07/29/2025","Sell to Close","LUNR 08/15/2025 12.50 C","CALL INTUITIVE MACHS INC$12.5 EXP 08/15/25","2","$1.26","$1.33","$250.67"
"07/29/2025","Sell to Close","GRAB 08/15/2025 5.50 C","CALL GRAB HLDGS LTD $5.5 EXP 08/15/25","10","$0.26","$6.64","$253.36"
"07/29/2025","Sell","ONDS","ONDAS HLDGS INC","200","$1.9048","$0.03","$380.93"
"07/29/2025","Sell to Close","GLXY 08/08/2025 32.00 C","CALL GALAXY DIGITAL INC $32 EXP 08/08/25","2","$1.11","$1.33","$220.67"
"07/29/2025","Sell to Close","UGL 08/15/2025 37.00 C","CALL PROSHR GOLD 2X $37 EXP 08/15/25","10","$0.20","$6.64","$193.36"
"07/29/2025","Sell to Close","RKLB 08/22/2025 48.00 C","CALL ROCKET LAB CORP $48 EXP 08/22/25","5","$3.00","$3.31","$1496.69"
"07/29/2025","Sell to Close","RKLB 08/22/2025 50.00 C","CALL ROCKET LAB CORP $50 EXP 08/22/25","5","$2.45","$3.31","$1221.69"
"07/29/2025","Sell to Close","RDW 08/15/2025 19.00 C","CALL REDWIRE CORP $19 EXP 08/15/25","5","$0.35","$3.31","$171.69"
"07/29/2025","Sell to Close","QBTS 08/01/2025 20.00 C","CALL D-WAVE QUANTUM INC $20 EXP 08/01/25","5","$0.30","$3.31","$146.69"
"07/29/2025","Sell to Close","GLXY 08/08/2025 32.00 C","CALL GALAXY DIGITAL INC $32 EXP 08/08/25","8","$1.38","$5.31","$1098.69"
"07/28/2025 as of 07/25/2025","Expired","ETHU 07/25/2025 120.00 C","CALL VOLATILITY SHS TR 2$120 EXP 07/25/25","-2","","",""
"07/25/2025","Sell to Close","ETHU 07/25/2025 115.00 C","CALL VOLATILITY SHS TR 2$115 EXP 07/25/25","1","$0.20","$0.66","$19.34"
"07/25/2025 as of 07/24/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$25.00"
"07/23/2025","Buy to Open","QBTS 08/01/2025 20.00 C","CALL D-WAVE QUANTUM INC $20 EXP 08/01/25","5","$1.52","$3.30","-$763.30"
"07/23/2025","Buy to Open","ETHU 07/25/2025 115.00 C","CALL VOLATILITY SHS TR 2$115 EXP 07/25/25","1","$3.30","$0.66","-$330.66"
"07/23/2025","Buy to Open","GLXY 08/08/2025 32.00 C","CALL GALAXY DIGITAL INC $32 EXP 08/08/25","10","$2.85","$6.61","-$2856.61"
"07/23/2025","Buy to Open","LUNR 08/15/2025 12.50 C","CALL INTUITIVE MACHS INC$12.5 EXP 08/15/25","2","$1.90","$1.32","-$381.32"
"07/22/2025","Buy to Open","RKLB 08/22/2025 50.00 C","CALL ROCKET LAB CORP $50 EXP 08/22/25","5","$4.10","$3.30","-$2053.30"
"07/22/2025","Buy to Open","RKLB 08/22/2025 48.00 C","CALL ROCKET LAB CORP $48 EXP 08/22/25","5","$4.90","$3.30","-$2453.30"
"07/22/2025","Buy to Open","ETHU 07/25/2025 120.00 C","CALL VOLATILITY SHS TR 2$120 EXP 07/25/25","2","$6.11","$1.32","-$1223.32"
"07/22/2025","Buy","TSLL","DIREXION DAILY TSLA BULL2X SHAR ETF","40","$12.55","","-$502.00"
"07/22/2025","Buy to Open","UGL 08/15/2025 37.00 C","CALL PROSHR GOLD 2X $37 EXP 08/15/25","10","$1.55","$6.61","-$1556.61"
"07/22/2025","Sell to Close","QBTS 08/01/2025 18.50 C","CALL D-WAVE QUANTUM INC $18.5 EXP 08/01/25","5","$0.92","$3.31","$456.69"
"07/21/2025","Sell to Close","RCAT 08/22/2025 10.00 C","CALL RED CAT HLDGS INC $10 EXP 08/22/25","10","$0.97","$6.64","$963.36"
"07/21/2025","Sell to Close","RGTI 08/01/2025 14.00 C","CALL RIGETTI COMPUTING I$14 EXP 08/01/25","1","$2.40","$0.66","$239.34"
"07/21/2025","Sell to Close","GLXY 08/01/2025 25.00 C","CALL GALAXY DIGITAL INC $25 EXP 08/01/25","5","$3.30","$3.31","$1646.69"
"07/21/2025","Sell to Close","GRAB 08/15/2025 5.50 C","CALL GRAB HLDGS LTD $5.5 EXP 08/15/25","10","$0.27","$6.64","$263.36"
"07/21/2025","Sell to Close","OKLO 08/15/2025 65.00 C","CALL OKLO INC $65 EXP 08/15/25","4","$5.90","$2.65","$2357.35"
"07/21/2025","Sell to Close","QBTS 08/01/2025 18.50 C","CALL D-WAVE QUANTUM INC $18.5 EXP 08/01/25","5","$1.75","$3.31","$871.69"
"07/21/2025","Sell to Close","RDW 08/15/2025 19.00 C","CALL REDWIRE CORP $19 EXP 08/15/25","5","$1.43","$3.31","$711.69"
"07/21/2025","Sell to Close","ACHR 08/08/2025 12.50 C","CALL ARCHER AVIATION INC$12.5 EXP 08/08/25","10","$0.97","$6.64","$963.36"
"07/21/2025","Sell to Close","OKLO 08/01/2025 67.50 C","CALL OKLO INC $67.5 EXP 08/01/25","1","$5.75","$0.66","$574.34"
"07/21/2025","Sell to Close","GLXY 08/01/2025 25.00 C","CALL GALAXY DIGITAL INC $25 EXP 08/01/25","5","$5.60","$3.31","$2796.69"
"07/18/2025","Sell to Close","ETHU 07/18/2025 103.00 C","CALL VOLATILITY SHS TR 2$103 EXP 07/18/25","1","$5.71","$0.66","$570.34"
"07/18/2025","Buy to Open","OKLO 08/01/2025 67.50 C","CALL OKLO INC $67.5 EXP 08/01/25","1","$4.95","$0.66","-$495.66"
"07/18/2025 as of 07/17/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$25.00"
"07/17/2025","Buy to Open","GLXY 08/01/2025 25.00 C","CALL GALAXY DIGITAL INC $25 EXP 08/01/25","10","$2.30","$6.61","-$2306.61"
"07/17/2025","Buy to Open","ETHU 07/18/2025 103.00 C","CALL VOLATILITY SHS TR 2$103 EXP 07/18/25","1","$3.00","$0.66","-$300.66"
"07/17/2025","Buy to Open","QBTS 08/01/2025 18.50 C","CALL D-WAVE QUANTUM INC $18.5 EXP 08/01/25","10","$1.85","$6.61","-$1856.61"
"07/17/2025","Buy to Open","RDW 08/15/2025 19.00 C","CALL REDWIRE CORP $19 EXP 08/15/25","10","$2.00","$6.61","-$2006.61"
"07/17/2025","Buy to Open","GRAB 08/15/2025 5.50 C","CALL GRAB HLDGS LTD $5.5 EXP 08/15/25","20","$0.33","$13.22","-$673.22"
"07/17/2025","Sell to Close","RGTI 08/01/2025 14.00 C","CALL RIGETTI COMPUTING I$14 EXP 08/01/25","1","$2.85","$0.66","$284.34"
"07/17/2025","Sell to Close","OKLO 08/15/2025 65.00 C","CALL OKLO INC $65 EXP 08/15/25","1","$8.30","$0.66","$829.34"
"07/17/2025","Sell to Close","RKLB 10/17/2025 40.00 C","CALL ROCKET LAB CORP $40 EXP 10/17/25","1","$14.50","$0.66","$1449.34"
"07/16/2025","Buy to Open","ACHR 08/08/2025 12.50 C","CALL ARCHER AVIATION INC$12.5 EXP 08/08/25","10","$1.13","$6.61","-$1136.61"
"07/16/2025","Buy to Open","RCAT 08/22/2025 10.00 C","CALL RED CAT HLDGS INC $10 EXP 08/22/25","5","$1.95","$3.30","-$978.30"
"07/16/2025","Buy to Open","RCAT 08/22/2025 10.00 C","CALL RED CAT HLDGS INC $10 EXP 08/22/25","5","$2.05","$3.30","-$1028.30"
"07/16/2025","Buy to Open","OKLO 08/15/2025 65.00 C","CALL OKLO INC $65 EXP 08/15/25","5","$6.00","$3.30","-$3003.30"
"07/16/2025","Buy","MSTY","YIELDMAX MSTR OPT INCM STRTGY ETF","40","$22.555","","-$902.20"
"07/16/2025","Sell to Close","ETHU 07/18/2025 80.00 C","CALL VOLATILITY SHS TR 2$80 EXP 07/18/25","2","$10.20","$1.33","$2038.67"
"07/16/2025","Sell to Close","ETHU 07/18/2025 80.00 C","CALL VOLATILITY SHS TR 2$80 EXP 07/18/25","3","$9.10","$1.99","$2728.01"
"07/15/2025","Buy to Open","ETHU 07/18/2025 80.00 C","CALL VOLATILITY SHS TR 2$80 EXP 07/18/25","5","$5.64","$3.30","-$2823.30"
"07/15/2025","Sell to Close","RKLB 08/15/2025 38.00 C","CALL ROCKET LAB CORP $38 EXP 08/15/25","3","$8.81","$1.99","$2641.01"
"07/14/2025","Journal","","JOURNAL FRM ...021","","","","$933.47"
"07/14/2025 as of 07/11/2025","MoneyLink Transfer","","Tfr Wells Fargo Bank N, IRIS P CAMPOS","","","","$5000.00"
"07/11/2025","Sell","SNOXX","SCHWAB TREASURY OBLIG MONEY INV","1,066.35","$1.00","","$1066.35"
"07/11/2025","Sell","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","1,031.45","$1.00","","$1031.45"
"07/11/2025","Buy to Open","RKLB 10/17/2025 40.00 C","CALL ROCKET LAB CORP $40 EXP 10/17/25","3","$6.80","$1.98","-$2041.98"
"07/11/2025","Journaled Shares","RKLB 08/15/2025 38.00 C","CALL ROCKET LAB CORP $38 EXP 08/15/25","1","$5.30","",""
"07/11/2025","Journaled Shares","RGTI 08/01/2025 14.00 C","CALL RIGETTI COMPUTING I$14 EXP 08/01/25","2","$0.485","",""
"07/11/2025","Journal","","JOURNAL FRM ...021","","","","$330.01"
"07/11/2025","Buy to Open","RKLB 08/15/2025 38.00 C","CALL ROCKET LAB CORP $38 EXP 08/15/25","2","$5.30","$1.32","-$1061.32"
"07/11/2025","Buy","MSTY","YIELDMAX MSTR OPT INCM STRTGY ETF","10","$22.005","","-$220.05"
"07/11/2025 as of 07/10/2025","MoneyLink Transfer","","Tfr Wells Fargo Bank N, IRIS P CAMPOS","","","","$1500.00"
"07/09/2025","Journaled Shares","TSLL","DIREXION DAILY TSLA BULL2X ETF","10","$10.09","",""
"07/09/2025","Journaled Shares","ONDS","ONDAS HLDGS INC","200","$1.84","",""
"07/09/2025","Journaled Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","355.73","$1.00","",""
"07/09/2025","Journal","","JOURNAL FRM ...021","","","","$819.47"
"07/09/2025","Journaled Shares","SNOXX","SCHWAB TREASURY OBLIG MONEY INV","1,066.35","$1.00","",""
"07/09/2025","Journaled Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","675.72","$1.00","",""
"07/09/2025","Journal","","JOURNAL FRM ...021","","","","$53.43"
